Case No,Incident Type,Barangay,Incident Date,Date Filed,Status,Accused,Accused Address,Accused Contact,Complainant,Complainant Address,Complainant Contact,Modus Operandi,Prosecutor,Branch,NPS Docket,Offense/Crime,Date Committed,Bail Recommended,Received By,Received Date,Returned To,Returned Date,Evidence Notes,Latitude,Longitude,Attachments
CYBER-2025-2057,Republic Act No. 10175 (Hacking),Brgy. San Miguel,09/12/2025,19/12/2025,Open,Ana Fernandez,"Blk 7 Lot 13, Brgy. San Miguel, San Pablo City",9177130044,Patricia Gomez,"97 Brgy. San Miguel, San Pablo City",9184175591,Harassment and death threats sent via anonymous SMS.,Atty. Lim,,IV-01-INV-25-5864,Hacking,09/12/2025 20:00,10000,SPO1 Dizon,19/12/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2058,Republic Act No. 10175 (Identity Theft),Brgy. San Nicolas,27/02/2025,03/03/2025,Under Investigation,Sofia Lim,"Blk 6 Lot 43, Brgy. San Nicolas, San Pablo City",9178527594,Christian Mendoza,"44 Brgy. San Nicolas, San Pablo City",9181077166,Created a dummy Facebook account to post defamatory statements.,Atty. Castro,,IV-01-INV-25-9818,Identity Theft,27/02/2025 11:00,36000,admin,03/03/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2059,Republic Act No. 10175 (Identity Theft),Brgy. San Pedro,22/02/2025,01/03/2025,Closed,Eduardo Santos,"Blk 16 Lot 12, Brgy. San Pedro, San Pablo City",9177741595,Ana Aquino,"77 Brgy. San Pedro, San Pablo City",9183726724,Fake investment scam promising double returns in Telegram.,Atty. Ocampo,,IV-01-INV-25-3680,Identity Theft,22/02/2025 20:00,20000,P/Cpl. Gomez,01/03/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2060,Republic Act No. 10175 (Cyber Harassment),Brgy. San Rafael,26/03/2025,02/04/2025,Under Investigation,Jose Ocampo,"Blk 1 Lot 28, Brgy. San Rafael, San Pablo City",9174153076,Ricardo Perez,"56 Brgy. San Rafael, San Pablo City",9183770570,Identity theft to apply for quick online loans (OLA).,Atty. Garcia,,IV-01-INV-25-6909,Cyber Harassment,26/03/2025 16:00,50000,admin,02/04/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2061,Republic Act No. 10175 (Hacking),Brgy. San Roque,01/05/2025,06/05/2025,Under Investigation,Ricardo Mendoza,"Blk 12 Lot 23, Brgy. San Roque, San Pablo City",9178268964,Kevin Ocampo,"59 Brgy. San Roque, San Pablo City",9189514038,Fake investment scam promising double returns in Telegram.,Atty. Ocampo,,IV-01-INV-25-9608,Hacking,01/05/2025 14:00,,SPO1 Dizon,06/05/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2062,Republic Act No. 10175 (Identity Theft),Brgy. San Vicente,09/11/2025,16/11/2025,Open,Christian Cruz,"Blk 13 Lot 42, Brgy. San Vicente, San Pablo City",9178394050,Maria Castro,"34 Brgy. San Vicente, San Pablo City",9189651034,Threatening to release intimate photos if not paid (Sextortion).,Atty. Cruz,,IV-01-INV-25-4704,Identity Theft,09/11/2025 9:00,50000,P/Cpl. Reyes,16/11/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2063,Republic Act No. 10175 (Cyber Harassment),Brgy. Santa Ana,02/06/2025,04/06/2025,Open,Michael Bautista,"Blk 6 Lot 38, Brgy. Santa Ana, San Pablo City",9177554574,Ricardo Fernandez,"50 Brgy. Santa Ana, San Pablo City",9184777940,Fake Shopee seller requiring advanced GCash payment.,Atty. Dizon,,IV-01-INV-25-2251,Cyber Harassment,02/06/2025 12:00,,P/Cpl. Bautista,04/06/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2064,Republic Act No. 10175 (Online Libel),Brgy. Santa Catalina,09/12/2025,19/12/2025,Open,Rafael Santos,"Blk 6 Lot 34, Brgy. Santa Catalina, San Pablo City",9178580071,Rafael Navarro,"87 Brgy. Santa Catalina, San Pablo City",9185793145,Created a dummy Facebook account to post defamatory statements.,Atty. Lim,,IV-01-INV-25-6786,Online Libel,09/12/2025 11:00,,P/Cpl. Santos,19/12/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2065,Republic Act No. 10175 (Phishing),Brgy. Santa Cruz,07/04/2025,10/04/2025,Closed,Grace Tolentino,"Blk 11 Lot 2, Brgy. Santa Cruz, San Pablo City",9174252269,Rafael Tolentino,"44 Brgy. Santa Cruz, San Pablo City",9188049759,Ransomware attack on a small business POS system.,Atty. Domingo,,IV-01-INV-25-5426,Phishing,07/04/2025 17:00,10000,admin,10/04/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2066,Republic Act No. 10175 (Online Fraud),Brgy. Santa Elena,10/08/2025,20/08/2025,Open,Carlos Santos,"Blk 18 Lot 9, Brgy. Santa Elena, San Pablo City",9174754255,Ricardo Garcia,"25 Brgy. Santa Elena, San Pablo City",9183958516,Fake investment scam promising double returns in Telegram.,Atty. Bautista,,IV-01-INV-25-3802,Online Fraud,10/08/2025 12:00,,P/Cpl. Dizon,20/08/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2067,Republic Act No. 10175 (Sextortion),Brgy. Santa Filomena,24/05/2025,03/06/2025,Open,Sarah Domingo,"Blk 14 Lot 44, Brgy. Santa Filomena, San Pablo City",9177015936,Michael Bautista,"59 Brgy. Santa Filomena, San Pablo City",9185690023,Harassment and death threats sent via anonymous SMS.,Atty. Mendoza,,IV-01-INV-25-9841,Sextortion,24/05/2025 10:00,50000,admin,03/06/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2068,Republic Act No. 10175 (Online Libel),Brgy. Santa Isabel,23/05/2025,02/06/2025,Closed,Kevin Villanueva,"Blk 11 Lot 11, Brgy. Santa Isabel, San Pablo City",9178249271,Patricia Perez,"97 Brgy. Santa Isabel, San Pablo City",9185513927,Compromised victim's email to reset banking passwords.,Atty. Gomez,,IV-01-INV-25-3236,Online Libel,23/05/2025 15:00,50000,SPO1 Bautista,02/06/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2069,Republic Act No. 10175 (Online Fraud),Brgy. Santa Maria,13/12/2025,16/12/2025,Open,Rafael Lim,"Blk 2 Lot 12, Brgy. Santa Maria, San Pablo City",9174124386,Sarah Castro,"55 Brgy. Santa Maria, San Pablo City",9185672697,Fake Shopee seller requiring advanced GCash payment.,Atty. Domingo,,IV-01-INV-25-2130,Online Fraud,13/12/2025 18:00,10000,P/Cpl. Castro,16/12/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2070,Republic Act No. 10175 (Hacking),Brgy. Santa Maria Magdalena,27/01/2025,03/02/2025,Open,Ana Mendoza,"Blk 5 Lot 19, Brgy. Santa Maria Magdalena, San Pablo City",9178279582,John Navarro,"4 Brgy. Santa Maria Magdalena, San Pablo City",9187594086,Phishing email disguised as a Netflix subscription update.,Atty. Navarro,,IV-01-INV-25-3775,Hacking,27/01/2025 14:00,36000,admin,03/02/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2071,Republic Act No. 10175 (Online Libel),Brgy. Santa Monica,23/08/2025,29/08/2025,Under Investigation,Ricardo Gomez,"Blk 18 Lot 18, Brgy. Santa Monica, San Pablo City",9172741354,Mark Santos,"80 Brgy. Santa Monica, San Pablo City",9183233152,Catfishing on Facebook to extort money.,Atty. Fernandez,,IV-01-INV-25-3731,Online Libel,23/08/2025 14:00,10000,P/Cpl. Reyes,29/08/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2072,Republic Act No. 10175 (Sextortion),Brgy. Santa Veronica,23/10/2025,28/10/2025,Closed,Mark Perez,"Blk 4 Lot 37, Brgy. Santa Veronica, San Pablo City",9178589637,Sofia Bautista,"69 Brgy. Santa Veronica, San Pablo City",9186413634,Fake Shopee seller requiring advanced GCash payment.,Atty. Domingo,,IV-01-INV-25-1364,Sextortion,23/10/2025 19:00,50000,admin,28/10/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2073,Republic Act No. 10175 (Phishing),Brgy. Santiago I,21/10/2025,30/10/2025,Under Investigation,Mark Reyes,"Blk 15 Lot 32, Brgy. Santiago I, San Pablo City",9177994949,Elena Cruz,"4 Brgy. Santiago I, San Pablo City",9184842937,Harassment and death threats sent via anonymous SMS.,Atty. Reyes,,IV-01-INV-25-9802,Phishing,21/10/2025 12:00,,P/Cpl. Santos,30/10/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2074,Republic Act No. 10175 (Phishing),Brgy. Santiago II,26/08/2025,05/09/2025,Under Investigation,Ana Dizon,"Blk 16 Lot 38, Brgy. Santiago II, San Pablo City",9175617156,Kevin Gomez,"47 Brgy. Santiago II, San Pablo City",9185901061,Fake Shopee seller requiring advanced GCash payment.,Atty. Perez,,IV-01-INV-25-2177,Phishing,26/08/2025 18:00,36000,admin,05/09/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2075,Republic Act No. 10175 (Phishing),Brgy. Santisimo Rosario,10/03/2025,20/03/2025,Open,Sarah Fernandez,"Blk 13 Lot 28, Brgy. Santisimo Rosario, San Pablo City",9175277593,Ricardo Tolentino,"16 Brgy. Santisimo Rosario, San Pablo City",9184318100,Threatening to release intimate photos if not paid (Sextortion).,Atty. Lim,,IV-01-INV-25-3502,Phishing,10/03/2025 16:00,10000,SPO1 Perez,20/03/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2076,Republic Act No. 10175 (Identity Theft),Brgy. Santo Angel,28/10/2025,29/10/2025,Open,Sofia Cruz,"Blk 5 Lot 12, Brgy. Santo Angel, San Pablo City",9173517434,Sofia Cruz,"37 Brgy. Santo Angel, San Pablo City",9188433923,Threatening to release intimate photos if not paid (Sextortion).,Atty. Bautista,,IV-01-INV-25-6353,Identity Theft,28/10/2025 15:00,36000,P/Cpl. Navarro,29/10/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2077,Republic Act No. 10175 (Phishing),Brgy. Santo Cristo,26/04/2025,30/04/2025,Under Investigation,Sarah Aquino,"Blk 10 Lot 50, Brgy. Santo Cristo, San Pablo City",9171896838,Patricia Santos,"94 Brgy. Santo Cristo, San Pablo City",9189481051,Ransomware attack on a small business POS system.,Atty. Perez,,IV-01-INV-25-8205,Phishing,26/04/2025 15:00,50000,admin,30/04/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2078,Republic Act No. 10175 (Sextortion),Brgy. Santo Niño,03/09/2025,12/09/2025,Under Investigation,Grace Lim,"Blk 8 Lot 8, Brgy. Santo Niño, San Pablo City",9179520430,Maria Garcia,"94 Brgy. Santo Niño, San Pablo City",9181453335,Threatening to release intimate photos if not paid (Sextortion).,Atty. Lim,,IV-01-INV-25-6839,Sextortion,03/09/2025 13:00,50000,admin,12/09/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2079,Republic Act No. 10175 (Online Fraud),Brgy. Soledad,16/07/2025,22/07/2025,Under Investigation,Michelle Reyes,"Blk 19 Lot 41, Brgy. Soledad, San Pablo City",9178496322,Eduardo Ocampo,"49 Brgy. Soledad, San Pablo City",9186659732,Catfishing on Facebook to extort money.,Atty. Fernandez,,IV-01-INV-25-7371,Online Fraud,16/07/2025 18:00,10000,admin,22/07/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
CYBER-2025-2080,Republic Act No. 10175 (Hacking),Brgy. Bagong Bayan II-A,27/09/2025,03/10/2025,Closed,Sofia Gomez,"Blk 14 Lot 9, Brgy. Bagong Bayan II-A, San Pablo City",9178855780,Angelica Dizon,"45 Brgy. Bagong Bayan II-A, San Pablo City",9187339439,Catfishing on Facebook to extort money.,Atty. Reyes,,IV-01-INV-25-3296,Hacking,27/09/2025 19:00,36000,admin,03/10/2025 9:00,,,Screenshots and conversation logs saved to case folder.,,,
